dateTime,Relative_humidity_room,Meteo_Rain,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Indoor_temperature_room
2012-03-13 11:46:00,42.415,0.0,1.42625,9690.24,12604.2,758.88,48.375,17.8275
2012-03-13 11:47:00,42.0027,0.0,0.661333,0.0,0.0,-3.57733,57.5387,22.5533
2012-03-13 11:48:00,42.8507,0.0,0.0413333,0.0,0.0,-3.25067,56.0453,17.1553
2012-03-13 11:49:00,40.624,0.0,2.028,9777.15,13444.4,763.52,52.4213,21.424
2012-03-13 11:50:00,45.056,0.0,0.564,0.0,0.0,-3.512,62.488,21.1293
2012-03-13 11:51:00,44.1227,0.0,0.163333,0.0,0.0,-3.38133,70.4533,19.0867
2012-03-13 11:52:00,44.8667,0.0,1.682,12597.9,16126.6,758.997,62.488,19.3553
2012-03-13 11:53:00,49.288,0.0,0.0,0.0,0.0,-3.44667,67.1573,19.6433
2012-03-13 11:54:00,48.7013,0.0,0.0,0.0,0.0,-3.18533,61.8213,15.9367
2012-03-13 11:55:00,45.9973,0.0,2.406,10614.8,14511.4,771.797,60.512,17.4187
2012-03-13 11:56:00,50.3467,0.0,0.0,0.0,0.0,-3.44667,62.7893,19.1367
2012-03-13 11:57:00,49.7173,0.0,0.524,0.0,0.0,-3.18533,66.088,16.1033
2012-03-13 11:58:00,46.3707,0.0,1.82667,10177.9,13637.6,773.973,51.5893,18.8107
2012-03-13 11:59:00,40.4027,0.0,0.659333,0.0,0.0,-3.96933,35.9227,22.312
2012-03-13 12:00:00,43.3893,0.0,1.696,0.0,0.0,-3.44667,48.7387,19.3153
2012-03-13 12:01:00,42.2453,0.0,1.592,11022.0,10787.2,762.069,47.808,18.1207
2012-03-13 12:02:00,42.4373,0.0,0.615333,0.0,0.0,-3.64267,57.9147,22.352
2012-03-13 12:03:00,42.8933,0.0,0.0,0.0,0.0,-3.12,55.984,17.0253
2012-03-13 12:04:00,41.4853,0.0,1.992,11366.1,11158.2,771.627,52.688,21.6
2012-03-13 12:05:00,45.6667,0.0,0.0,0.0,0.0,-3.708,62.7653,21.028
2012-03-13 12:06:00,44.2213,0.0,0.108667,0.0,0.0,-3.38133,70.7333,19.06
2012-03-13 12:07:00,44.84,0.0,1.63133,14499.2,13667.0,776.789,62.128,19.532
2012-03-13 12:08:00,49.4,0.0,0.036,0.0,0.0,-3.38133,67.52,19.52
2012-03-13 12:09:00,48.488,0.0,0.0,0.0,0.0,-3.12,61.5733,15.8313
2012-03-13 12:10:00,46.1947,0.0,2.156,12204.7,12176.0,774.784,60.7653,17.682
2012-03-13 12:11:00,50.4187,0.0,0.0,0.0,0.0,-3.44667,62.9733,19.0647
2012-03-13 12:12:00,49.7387,0.0,0.655333,0.0,0.0,-3.25067,66.3627,15.9947
2012-03-13 12:13:00,46.16,0.0,2.14333,11767.8,11474.3,777.216,50.472,19.168
2012-03-13 12:14:00,40.9093,0.0,1.32067,0.0,0.0,-4.03467,43.7,22.24
2012-03-13 12:15:00,43.344,0.0,1.26867,0.0,0.0,-3.512,49.24,19.204
2012-03-13 12:16:00,42.2267,0.0,1.89133,13960.5,9669.63,766.251,47.432,18.4367
2012-03-13 12:17:00,42.6267,0.0,0.458667,0.0,0.0,-3.64267,57.5893,22.1227
2012-03-13 12:18:00,42.856,0.0,0.230667,0.0,0.0,-3.18533,56.0373,16.894
2012-03-13 12:19:00,41.824,0.0,2.25667,14368.8,10135.6,776.619,53.16,21.8587
2012-03-13 12:20:00,45.8693,0.0,0.0,0.0,0.0,-3.64267,63.056,20.896
2012-03-13 12:21:00,44.3787,0.0,0.0,0.0,0.0,-3.18533,70.4453,19.048
2012-03-13 12:22:00,44.8213,0.0,1.81733,17859.2,12455.3,790.059,61.8933,19.724
2012-03-13 12:23:00,49.4747,0.0,0.124,0.0,0.0,-3.57733,68.0933,19.4367
2012-03-13 12:24:00,48.4453,0.0,0.0933333,0.0,0.0,-3.12,61.4933,15.7127
2012-03-13 12:25:00,46.408,0.0,2.64067,15214.6,10979.3,779.136,61.144,17.952
2012-03-13 12:26:00,50.5067,0.0,0.116,0.0,0.0,-3.708,63.0373,18.9627
2012-03-13 12:27:00,49.7707,0.0,0.290667,0.0,0.0,-3.042,66.088,15.9033
2012-03-13 12:28:00,45.9573,0.0,1.888,14411.8,10350.6,772.053,49.6027,19.5113
2012-03-13 12:29:00,41.6827,0.0,1.39533,0.0,0.0,-3.83867,47.6267,22.1413
2012-03-13 12:30:00,43.304,0.0,1.01133,0.0,0.0,-3.512,49.6053,19.1167
2012-03-13 12:31:00,42.0987,0.0,1.828,18511.2,9648.13,766.037,47.024,18.7513
2012-03-13 12:32:00,42.7493,0.0,0.132,0.0,0.0,-3.64267,57.1467,21.9347
2012-03-13 12:33:00,42.752,0.0,0.663333,0.0,0.0,-3.17267,56.0667,16.7433
2012-03-13 12:34:00,42.1573,0.0,1.81,18976.8,10092.5,775.253,53.3893,22.0573
2012-03-13 12:35:00,46.0667,0.0,0.0,0.0,0.0,-3.77333,62.96,20.816
2012-03-13 12:36:00,44.592,0.0,0.0,0.0,0.0,-3.18533,70.712,19.004
2012-03-13 12:37:00,44.824,0.0,1.88467,20833.6,11122.3,727.467,61.6107,19.9
2012-03-13 12:38:00,49.488,0.0,0.277333,0.0,0.0,-3.38133,68.9067,19.338
2012-03-13 12:39:00,48.3787,0.0,0.0,0.0,0.0,-3.12,61.3627,15.5847
2012-03-13 12:40:00,46.5307,0.0,2.10133,19602.1,10714.5,773.589,60.7253,18.166
2012-03-13 12:41:00,50.3493,0.0,0.904667,0.0,0.0,-3.38133,62.8747,18.896
2012-03-13 12:42:00,49.7467,0.0,0.268667,0.0,0.0,-3.12,65.9893,15.8133
2012-03-13 12:43:00,45.8107,0.0,2.61267,19128.3,10479.3,778.965,48.104,19.8427
2012-03-13 12:44:00,42.4907,0.0,1.462,0.0,0.0,-3.77333,49.864,22.064
2012-03-13 12:45:00,43.3253,0.0,1.36733,0.0,0.0,-3.316,49.9493,18.988
2012-03-13 12:46:00,42.0686,0.0,2.36071,26349.0,9208.32,762.743,45.4743,19.0414
2012-03-13 12:47:00,42.808,0.0,0.119333,0.0,0.0,-3.512,57.1653,21.7133
2012-03-13 12:48:00,42.648,0.0,1.298,0.0,0.0,-3.25067,56.1867,16.608
2012-03-13 12:49:00,42.6587,0.0,2.034,26528.4,9640.96,771.456,53.2213,22.1907
2012-03-13 12:50:00,45.4533,0.0,0.48,0.0,0.0,-3.57733,64.6267,20.6813
2012-03-13 12:51:00,44.7627,0.0,0.0,0.0,0.0,-3.25067,70.5333,19.0
